tiempo, mV
0,-0.085
0.002,-0.0551153886513551
0.004,-0.0283361648989909
0.006,-0.0286844131495981
0.008,-0.0542020580387422
0.01,-0.0582442949541505
0.012,-0.0732427304515232
0.014,-0.0698856889115098
0.016,-0.059444975677367
0.018,-0.032991504531826
0.02,-0.00293660902229078
0.022,0.00620769119096901
0.024,-0.019472144855025
0.026,-0.0436217618040616
0.028,-0.0678261813460759
0.03,-0.0809788696740969
0.032,-0.0774631217092966
0.034,-0.0574334251241213
0.036,-0.0340486168247776
0.038,0.000847289364222382
0.04,-0.0147328848624516
0.042,-0.0220561778197185
0.044,-0.0289295777022792
0.046,-0.0338325991944723
0.048,-0.0446564824500985
0.05,-0.04
0.052,-0.0273012568980953
0.054,-0.0288067210305298
0.056,-0.0425590122060218
0.058,-0.0555831424052836
0.06,-0.0752671151375483
0.062,-0.0982079691392203
0.064,-0.0994627932669214
0.066,-0.0849272546508767
0.068,-0.0805791389425096
0.07,-0.0840211303259031
0.072,-0.0952160793057302
0.074,-0.103738917970936
0.076,-0.109039265236674
0.078,-0.0835683709659669
0.08,-0.0720633909777092
0.082,-0.0496478156931762
0.084,-0.0120436142309341
0.086,0.00224636868650759
0.088,0.0062849911033293
0.09,-0.0167557050458493
0.092,-0.0377556813094515
0.094,-0.0439549070754039
0.096,-0.0481524250093102
0.098,-0.0275239315736471
0.1,-0.00500000000000006
0.102,0.0125239315736469
0.104,0.0281524250093101
0.106,0.033954907075404
0.108,0.0027556813094517
0.11,-0.0132442949541505
0.112,-0.00628499110332928
0.114,0.0027536313134923
0.116,0.027043614230934
0.118,0.064647815693176
0.12,0.0970633909777091
0.122,0.118568370965967
0.124,0.119039265236674
0.126,0.0937389179709364
0.128,0.0802160793057303
0.13,0.0840211303259031
0.132,0.0855791389425094
0.134,0.0949272546508766
0.136,0.129462793266921
0.138,0.12820796913922
0.14,0.125267115137548
0.142,0.115583142405284
0.144,0.0925590122060221
0.146,0.0888067210305299
0.148,0.0773012568980952
0.15,0.0799999999999998
0.152,0.0896564824500985
0.154,0.0888325991944723
0.156,0.113929577702279
0.158,0.132056177819719
0.16,0.124732884862452
0.162,0.119152710635778
0.164,0.139048616824778
0.166,0.152433425124121
0.168,0.147463121709297
0.17,0.160978869674097
0.172,0.147826181346076
0.174,0.133621761804062
0.176,0.124472144855025
0.178,0.128792308809031
0.18,0.132936609022291
0.182,0.137991504531826
0.184,0.159444975677367
0.186,0.15988568891151
0.188,0.153242730451523
0.19,0.143244294954151
0.192,0.124202058038742
0.194,0.113684413149598
0.196,0.123336164898991
0.198,0.130115388651355
0.2,0.165
0.202,0.189884611348645
0.204,0.211663835101009
0.206,0.191315586850402
0.208,0.175797941961258
0.21,0.14175570504585
0.212,0.116757269548477
0.214,0.10011431108849
0.216,0.115555024322633
0.218,0.137008495468174
0.22,0.142063390977709
0.222,0.121207691190969
0.224,0.105527855144975
0.226,0.0663782381959384
0.228,0.0421738186539241
0.23,0.024021130325903
0.232,0.0125368782907034
0.234,0.0175665748758787
0.236,0.0359513831752223
0.238,0.0408472893642224
0.24,0.0402671151375487
0.242,0.0329438221802817
0.244,0.011070422297721
0.246,0.0161674008055277
0.248,0.0253435175499014
0.25,0.0499999999999998
